"1.000000e+00 1.176770e+00 1.664220e+00 2.229200e+00 2.817320e+00
 3.410570e+00 4.001840e+00 4.590790e+00 5.165470e+00 5.739810e+00
 6.307370e+00 6.874310e+00 7.425610e+00 7.972130e+00 8.506190e+00
 9.052860e+00 9.571170e+00 1.008512e+01 1.041826e+01 1.114788e+01
 1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
  358.30251  118.65003 1100.      1100.      1100.      1100.
 1100.       234.11593 1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
  307.25161  230.29177 1100.      1100.      1100.      1100.
 1100.       391.28889 1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
  270.88759  559.93049 1100.      1100.      1100.      1100.
 1100.       639.66897 1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.     "
